"","language_id","lemma","word_form"
"1","cs","IG","IG"
"2","cs","St","St"
"3","cs","United","U"
"4","cs","US","US"
"5","cs","Post","P"
"6","cs","Le","Le"
"7","cs","Le","La"
"8","cs","New","New"
"9","cs","Beastie","Beastie"
"10","cs","British","British"
"11","cs","Business","Business"
"12","cs","der","der"
"13","cs","Deutsche","Deutsche"
"14","cs","die","Die"
"15","cs","Eagle","Eagle"
"16","cs","Financial","Financial"
"17","cs","General","General"
"18","cs","Grand","Grand"
"19","cs","National","National"
"20","cs","Pink","Pink"
"21","cs","United","United"
"22","cs","Wall","Wall"
"23","cs","Flushing","Flushing"
"24","cs","Los","Los"
"25","cs","El","El"
"26","cs","Czech","Czech"
"27","cs","French","French"
"28","cs","fit","fit"
"29","cs","Open","Open"
"30","cs","power","power"
"31","cs","Super","Super"
"32","cs","the","the"
"33","cs","the","The"
"34","cs","tie","tie"
"35","cs","ad","ad"
"36","cs","in","in"
"37","cs","de","De"
"38","cs","a","a"
"39","cs","Pro","Pro"
"40","cs","de","de"
"41","cs","versus","versus"
"42","cs","do","do"
"43","cs","of","of"
"44","cs","van","van"
"45","cs","von","von"
"46","cs","di","di"
"47","cs","cca","cca"
"48","cs","tam","tam"
"49","cs","and_^(obv._souč._anglických_názvů,_""a""","and"
"50","cs","CD","CD"
"51","cs","ECM","ECM"
"52","cs","Office","O"
"53","cs","st","st"
"54","cs","UNPROFOR","UNPROFOR"
"55","cs","AG","AG"
"56","cs","SP","SP"
"57","cs","management","management"
"58","cs","management","Management"
"59","cs","management","managementu"
"60","cs","summit","summit"
"61","cs","Homo","Homo"
"62","cs","neem","neem"
"63","cs","box","BOX"
"64","cs","play","play"
"65","cs","facto","facto"
"66","cs","pas","pas"
"67","cs","s","s"
"68","cs","s","S"
"69","cs","syn","syn"
"70","cs","Four","Four"
"71","cs","ne","ne"
"72","cs","off","off"
"73","cs","USA","USA"
"74","cs","O","O"
"75","cs","T","T"
"76","cs","VW","VW"
"77","cs","SDL","SDL"
"78","cs","ABB","ABB"
"79","cs","AP","AP"
"80","cs","BBC","BBC"
"81","cs","CDU","CDU"
"82","cs","CIA","CIA"
"83","cs","CSU","CSU"
"84","cs","FDP","FDP"
"85","cs","FIFA","FIFA"
"86","cs","FIS","FIS"
"87","cs","IRA","IRA"
"88","cs","NASA","NASA"
"89","cs","NBA","NBA"
"90","cs","PDS","PDS"
"91","cs","PRI","PRI"
"92","cs","SPD","SPD"
"93","cs","WTA","WTA"
"94","cs","ATP","ATP"
"95","cs","C","C"
"96","cs","CNN","CNN"
"97","cs","HZDS","HZDS"
"98","cs","TASS","TASS"
"99","cs","AV","AV"
"100","cs","MCM","MCM"
"101","cs","George","George"
"102","cs","Jindřich","Jindřicha"
"103","cs","Mike","Mike"
"104","cs","Banshee","Banshees"
"105","cs","Boy","Boys"
"106","cs","Floyd","Floyd"
"107","cs","David","David"
"108","cs","Juppé","Juppé"
"109","cs","Elbit","Elbit"
"110","cs","Street","Street"
"111","cs","Cup","Cup"
"112","cs","Elbit","Elbitu"
"113","cs","Sejm","Sejmu"
"114","cs","Cup","Cupu"
"115","cs","Times","Times"
"116","cs","Mir","Mir"
"117","cs","Welt","Welt"
"118","cs","Hill","Hill"
"119","cs","Zeitung","Zeitung"
"120","cs","Air","Air"
"121","cs","Apple","Apple"
"122","cs","Bayern","Bayern"
"123","cs","College","College"
"124","cs","Nature","Nature"
"125","cs","Press","Press"
"126","cs","Bay","Bay"
"127","cs","City","City"
"128","cs","Robert","Robert"
"129","cs","Chelsea","Chelsea"
"130","cs","News","News"
"131","cs","Science","Science"
"132","cs","University","University"
"133","cs","Bank","Bank"
"134","cs","Duck","Duck"
"135","cs","France","France"
"136","cs","Group","Group"
"137","cs","SF`Fein-1","Fein"
"138","cs","SF`Sinn-1","Sinn"
"139","cs","Siouxsie","Siouxsie"
"140","cs","Meadows","Meadows"
"141","cs","Hole","Hole"
"142","cs","Prix","Prix"
"143","cs","Angeles","Angeles"
"144","cs","Fassa","Fassa"
"145","cs","Val","Val"
"146","cs","International","International"
"147","gl","obstante","obstante"
"148","gl","de","de"
"149","gl","en","en"
"150","gl","o","a"
"151","gl","artigo","artigo"
"152","gl","cadro","cadro"
"153","gl","caso","caso"
"154","gl","diferencia","diferencia"
"155","gl","efecto","efecto"
"156","gl","falta","falta"
"157","gl","lei","Lei"
"158","gl","papel","papel"
"159","gl","parque","Parque"
"160","gl","táboa","táboa"
"161","gl","non","non"
"162","gl","como","como"
"163","gl","dicir","di"
"164","gl","poder","poderá"
"165","pt","_","Mundo"
"166","ro","de","de"
"167","ro","al","al"
"168","ro","B","B"
"169","ro","doi","II"
"170","ru","buttkicker","ButtKicker"
"171","ru","fia","FIA"
"172","ru","foxp2","FOXP2"
"173","ru","mba","MBA"
"174","ru","pm","PM"
"175","ru","robocup","RoboCup"
"176","ru","weta","Weta"
"177","ru","xgr","XGR"
"178","ru","а","А"
"179","ru","ни","НИ"
"180","sv","in","in"
"181","ur","چیلنج","چیلنج"
"182","cs","omezený","o"
"183","cs","D","D"
"184","cs","I","I"
"185","cs","J","J"
"186","cs","K","K"
"187","cs","RM","RM"
"188","cs","S","S"
"189","cs","Český","Č"
"190","cs","aj","aj"
"191","cs","akciový","a"
"192","cs","československý","čs"
"193","cs","československý","Čs"
"194","cs","národní","n"
"195","cs","narozený","nar"
"196","cs","svatý","sv"
"197","cs","takzvaný","tzv"
"198","cs","nad","n"
"199","cs","před","př"
"200","cs","apod","apod"
"201","cs","atd","atd"
"202","cs","atp","atp"
"203","cs","mj","mj"
"204","cs","například","např"
"205","cs","například","Např"
"206","cs","popřípadě","popř"
"207","cs","respektive","resp"
"208","cs","tj","tj"
"209","cs","můj","n"
"210","cs","profesor","prof"
"211","cs","doktor","dr"
"212","cs","Celsius","C"
"213","cs","CSc","CSc"
"214","cs","doktor","Dr"
"215","cs","DrSc","DrSc"
"216","cs","Ing","ing"
"217","cs","Ing","Ing"
"218","cs","JUDr","JUDr"
"219","cs","MUDr","MUDr"
"220","cs","PhDr","PhDr"
"221","cs","profesor","Prof"
"222","cs","RNDr","RNDr"
"223","cs","AIDS","AIDS"
"224","cs","AIDS","aidsu"
"225","cs","°","°"
"226","cs","letopočet","l"
"227","cs","CP","CP"
"228","cs","ZPS","ZPS"
"229","cs","b","B"
"230","cs","BP","BP"
"231","cs","ccm","ccm"
"232","cs","cm`centimetr","cm"
"233","cs","CO","CO"
"234","cs","ha`hektar","ha"
"235","cs","HC","HC"
"236","cs","HDP","HDP"
"237","cs","HIV","HIV"
